availability,a,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
Immediate,2000-01-01 00:00:00,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/studio/cliff-bungalow/357976,Apartment,525,0,420,1.0,0,0,1,1,1,0,0,1.0
May 01,2022-05-01 00:00:00,Thorncliffe,51.10716,-114.07147,/ab/calgary/rentals/apartment/3-bedrooms/thorncliffe/131827,Apartment,500,3,1100,1.0,0,0,1,1,1,0,0,5.0
Immediate,2000-01-01 00:00:00,Forest Heights,51.0446273,-113.9703201,/ab/calgary/rentals/apartment/1-bedroom/forest-heights/pet-friendly/430315,Apartment,999,1,522,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Braeside,50.962467,-114.1097039,/ab/calgary/rentals/apartment/1-bedroom/braeside/pet-friendly/481050,Apartment,974,1,616,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.03335,-114.10007,/ab/calgary/rentals/apartment/studio/bankview/pet-friendly/127069,Apartment,915,0,500,1.0,2,0,0,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Killarney,51.0296161,-114.1351447,/ab/calgary/rentals/apartment/1-bedroom/killarney/pet-friendly/29306,Apartment,895,1,700,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Windsor Park,51.0026511,-114.074333,/ab/calgary/rentals/apartment/1-bedroom/windsor-park/pet-friendly/462353,Apartment,995,1,615,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Lower Mount Royal,51.03682598725,-114.088533366797,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/374579,Apartment,800,1,630,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.041265,-114.066508,/ab/calgary/rentals/apartment/studio/beltline/pet-friendly/339295,Apartment,695,0,205,1.0,2,2,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Cliff Bungalow,51.0358214,-114.0759369,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/467746,Apartment,950,1,850,1.0,0,0,1,0,1,0,1,1.0
Immediate,2000-01-01 00:00:00,Crescent Heights,51.064555,-114.064615,/ab/calgary/rentals/apartment/studio/crescent-heights/3898,Apartment,895,0,345,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Altadore,51.01635,-114.0985,/ab/calgary/rentals/apartment/1-bedroom/altadore/117563,Apartment,975,1,600,1.0,0,0,1,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Haysboro,50.977276,-114.076662,/ab/calgary/rentals/apartment/1-bedroom/haysboro/pet-friendly/75289,Apartment,950,0,374,1.0,2,2,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0325951,-114.0980284,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/3474,Apartment,999,1,497,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0390969,-114.0731192,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/75288,Apartment,925,0,250,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0399846,-114.0693749,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/99283,Apartment,975,0,400,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,South Calgary,51.0302907,-114.0989466,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/2592,Apartment,899,0,450,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Huntington Hills,51.1147884,-114.0682795,/ab/calgary/rentals/apartment/1-bedroom/huntington-hills/pet-friendly/99281,Apartment,925,0,388,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Lower Mount Royal,51.0362699,-114.082297,/ab/calgary/rentals/apartment/studio/lower-mount-royal/pet-friendly/355718,Apartment,950,0,313,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Renfrew,51.0595404,-114.0510065,/ab/calgary/rentals/apartment/1-bedroom/renfrew/pet-friendly/466383,Apartment,700,0,299,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.030137,-114.101078,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/51406,Apartment,950,0,420,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Scarboro,51.0375374,-114.1020294,/ab/calgary/rentals/apartment/1-bedroom/scarboro/pet-friendly/299144,Apartment,925,0,335,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Mission,51.0345392,-114.0692334,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/473402,Apartment,999,1,454,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Sunalta,51.0389372,-114.0985889,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/413819,Apartment,999,1,550,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Crescent Heights,51.0640666,-114.0573792,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/pet-friendly/2542,Apartment,999,1,520,1.0,2,2,1,0,1,0,0,1.0
