rented,email,availability,a,city,community,latitude,longitude,type,price,beds,sq_feet,baths,cats,dogs,sq_feet2,price2,beds2,baths2,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet
Not-Rented,True,Immediate,2000-01-01,Calgary,Manchester,51.0028735,-114.0688282,Apartment,580,1,,1,0,0,0,0,0,0,0,0,0,0,0
Not-Rented,False,Immediate,2000-01-01,Calgary,Downtown,51.0478108,-114.0592618,Apartment,580,studio,,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0366961,-114.0744921,Apartment,525,studio,420,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,May 01,2022-05-01,Calgary,Thorncliffe,51.10716,-114.07147,Apartment,500,3,1100 sft,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Downtown,51.0472973,-114.0828068,Apartment,960,1,,1,0,0,0,0,0,0,0,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Forest Heights,51.0446273,-113.9703201,Apartment,999,1,522,1,2,2,530,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.03682598725,-114.088533366797,Apartment,800,1,630,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0358214,-114.0759369,Apartment,950,1,850,1,0,0,0,0,0,0,1,0,1,0,1
Not-Rented,True,Immediate,2000-01-01,Calgary,East Village,51.0454353,-114.0503492,Apartment,950,1,,1,2,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.0392327,-114.0784435,Apartment,925,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Braeside,50.962467,-114.1097039,Apartment,974,1,616,1,2,2,824,999,2,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.041265,-114.066508,Apartment,695,studio,205,1,2,2,0,0,0,0,0,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Beltline,51.0401167,-114.0907216,Apartment,925,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Banff Trail,51.0674518,-114.1156797,Apartment,940,studio,,1,2,2,0,0,0,0,1,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Banff Trail,51.0674518,-114.1156797,Apartment,940,studio,,1,2,2,0,0,0,0,1,0,0,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Manchester,51.0028735,-114.0688282,Apartment,750,1,,1,0,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Crescent Heights,51.0563432,-114.0578657,Apartment,895,1,Large one bedroom,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Sunalta,51.0425776,-114.0981261,Apartment,950,1,,1,2,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,East Village,51.0454353,-114.0503492,Apartment,950,1,,1,2,0,0,0,0,0,1,1,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Crescent Heights,51.064555,-114.064615,Apartment,895,studio,Approx 345,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Connaught,51.0401167,-114.0907216,Apartment,925,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Connaught,51.0463834,-114.0874283,Apartment,1000,studio,400,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Downtown,51.049105,-114.0805519,Apartment,985,1,,1,0,0,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Renfrew,51.0595404,-114.0510065,Apartment,700,studio,299,1,2,2,0,0,0,0,1,0,1,0,0
Not-Rented,True,Immediate,2000-01-01,Calgary,Mission,51.0345392,-114.0692334,Apartment,999,1,454,1,2,2,0,0,0,0,1,0,1,0,0
