availability,a,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
Immediate,2000-01-01 00:00:00,Calgary,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/studio/cliff-bungalow/357976,Apartment,525.0,0,420,1.0,0,0,1,1,1,0,0,1.0
May 01,2022-05-01 00:00:00,Calgary,Thorncliffe,51.10716,-114.07147,/ab/calgary/rentals/apartment/3-bedrooms/thorncliffe/131827,Apartment,500.0,3,1100,1.0,0,0,1,1,1,0,0,5.0
Immediate,2000-01-01 00:00:00,Calgary,Forest Heights,51.0446273,-113.9703201,/ab/calgary/rentals/apartment/1-bedroom/forest-heights/pet-friendly/430315,Apartment,999.0,1,522,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Lower Mount Royal,51.03682598725,-114.088533366797,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/374579,Apartment,800.0,1,630,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Beltline,51.041265,-114.066508,/ab/calgary/rentals/apartment/studio/beltline/pet-friendly/339295,Apartment,695.0,0,205,1.0,2,2,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Crescent Heights,51.064555,-114.064615,/ab/calgary/rentals/apartment/studio/crescent-heights/3898,Apartment,895.0,0,345,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Braeside,50.962467,-114.1097039,/ab/calgary/rentals/apartment/1-bedroom/braeside/pet-friendly/481050,Apartment,974.0,1,616,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Cliff Bungalow,51.0358214,-114.0759369,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/467746,Apartment,950.0,1,850,1.0,0,0,1,0,1,0,1,1.0
Immediate,2000-01-01 00:00:00,Calgary,Mission,51.0369918,-114.0752319,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/466381,Apartment,875.0,0,350,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Crescent Heights,51.0640666,-114.0573792,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/pet-friendly/2542,Apartment,999.0,1,520,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Bridgeland,51.0542397,-114.0509469,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/473398,Apartment,999.0,1,497,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Sunalta,51.0389372,-114.0985889,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/413819,Apartment,999.0,1,550,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Dover,51.0278599,-113.968347,/ab/calgary/rentals/apartment/1-bedroom/dover/pet-friendly/2247,Apartment,999.0,1,550,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Haysboro,50.977276,-114.076662,/ab/calgary/rentals/apartment/1-bedroom/haysboro/pet-friendly/75289,Apartment,950.0,0,374,1.0,2,2,1,1,1,0,0,1.0
