availability,a,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
Immediate,2000-01-01 00:00:00,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/studio/cliff-bungalow/357976,Apartment,525,0,420,1.0,0,0,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Downtown,51.047691,-114.081481,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/393080,Apartment,1075,1,492,1.0,2,2,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0408325,-114.0752992,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/351340,Apartment,930,1,484,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Forest Heights,51.0446273,-113.9703201,/ab/calgary/rentals/apartment/1-bedroom/forest-heights/pet-friendly/430315,Apartment,999,1,523,1.0,2,2,1,0,1,0,0,1.0
Apr 30,2022-04-30 00:00:00,Willow Park,50.9619167,-114.0600523,/ab/calgary/rentals/apartment/1-bedroom/willow-park/pet-friendly/462796,Apartment,1078,1,506,1.0,2,2,1,0,1,0,0,4.0
Immediate,2000-01-01 00:00:00,Rosscarrock,51.039325,-114.141587,/ab/calgary/rentals/apartment/1-bedroom/rosscarrock/pet-friendly/5267,Apartment,1075,1,700,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Shaganappi,51.0382491,-114.1240734,/ab/calgary/rentals/apartment/1-bedroom/shaganappi/470000,Apartment,895,1,500,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Mission,51.037644,-114.0703651,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/2243,Apartment,840,0,350,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0322456,-114.100702,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/51407,Apartment,1075,1,500,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0306332,-114.1038036,/ab/calgary/rentals/apartment/studio/bankview/pet-friendly/355713,Apartment,899,0,397,1.0,2,2,1,0,1,0,0,1.0
