availability,a,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
Immediate,2000-01-01 00:00:00,Calgary,Mission,51.029764,-114.065254,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/343046,Apartment,1740,1,673,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Downtown,51.043,-114.0602964,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/422955,Apartment,1690,1,535,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Downtown,51.047691,-114.081481,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/393080,Apartment,1545,1,1312,1.0,2,2,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Downtown,51.047949,-114.088137,/ab/calgary/rentals/apartment/2-bedrooms/downtown/pet-friendly/393079,Apartment,2139,2,872,2.0,2,2,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Victoria Park,51.0405707,-114.0586474,/ab/calgary/rentals/apartment/1-bedroom/victoria-park/pet-friendly/476038,Apartment,1781,1,1297,1.0,2,2,1,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Downtown,51.046632865945,-114.06320966323,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/434562,Apartment,2110,1,1014,1.0,2,2,1,1,1,1,1,1.0
Immediate,2000-01-01 00:00:00,Calgary,Brentwood,51.0841687,-114.1287177,/ab/calgary/rentals/apartment/1-bedroom/brentwood/pet-friendly/377368,Apartment,1639,1,527,1.0,2,2,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Altadore,51.0229848,-114.1098195,/ab/calgary/rentals/apartment/1-bedroom/altadore/pet-friendly/468619,Apartment,1605,1,536,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Beltline,51.04366769609,-114.07208817361,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/483743,Apartment,1785,1,600,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Connaught,51.045561201644,-114.08818162038,/ab/calgary/rentals/apartment/1-bedroom/connaught/pet-friendly/471183,Apartment,1950,1,1016,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Bridgeland,51.0500734,-114.0410253,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/501607,Apartment,1590,1,517,1.0,2,2,0,0,0,0,0,1.0
Nov 07,2022-11-07 00:00:00,Calgary,Beltline,51.038595,-114.09294,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/29842,Apartment,1618,1,670,1.0,2,2,1,0,1,0,0,11.0
Immediate,2000-01-01 00:00:00,Calgary,Thorncliffe,51.1094739,-114.0676836,/ab/calgary/rentals/apartment/1-bedroom/thorncliffe/pet-friendly/22935,Apartment,1289,1,625,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,St Andrews Heights,51.0630714,-114.1201933,/ab/calgary/rentals/apartment/1-bedroom/st-andrews-heights/504890,Apartment,2000,1,650,1.0,0,0,1,1,1,0,1,1.0
Immediate,2000-01-01 00:00:00,Calgary,Kingsland,50.993504,-114.076081,/ab/calgary/rentals/apartment/1-bedroom/kingsland/pet-friendly/338360,Apartment,1593,1,740,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Altadore,51.0216713,-114.108739,/ab/calgary/rentals/apartment/1-bedroom/altadore/pet-friendly/502059,Apartment,1750,1,1800,1.0,0,2,1,1,1,1,1,1.0
Immediate,2000-01-01 00:00:00,Calgary,Victoria Park,51.0420136,-114.0594653,/ab/calgary/rentals/apartment/1-bedroom/victoria-park/505065,Apartment,1800,1,570,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Beltline,51.0422674,-114.0845042,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/139573,Apartment,1125,1,1008,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Skyview,51.1651584,-113.9567176,/ab/calgary/rentals/apartment/2-bedrooms/skyview/501278,Apartment,1750,2,750,2.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Beltline,51.0404892,-114.0898093,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/87827,Apartment,1050,1,700,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,East Village,51.0471815,-114.0530466,/ab/calgary/rentals/apartment/2-bedrooms/east-village/353886,Apartment,2500,2,1056,2.0,0,0,1,0,1,0,0,1.0
