availability,a,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
Immediate,2000-01-01 00:00:00,Calgary,Marlborough,51.059013,-113.9776631,/ab/calgary/rentals/apartment/1-bedroom/marlborough/pet-friendly/481053,Apartment,1030,1,723,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Eau Claire,51.0513588,-114.0764941,/ab/calgary/rentals/apartment/1-bedroom/eau-claire/pet-friendly/100159,Apartment,1195,1,600,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Greenview,51.1020364,-114.0537402,/ab/calgary/rentals/apartment/1-bedroom/greenview/pet-friendly/374053,Apartment,1175,1,568,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Braeside,50.962467,-114.1097039,/ab/calgary/rentals/apartment/1-bedroom/braeside/pet-friendly/481050,Apartment,1124,1,616,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,South Calgary,51.0296429,-114.1079234,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/140011,Apartment,800,1,450,1.0,2,2,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Woodlands,50.9407587,-114.1038826,/ab/calgary/rentals/apartment/1-bedroom/woodlands/pet-friendly/481052,Apartment,1029,1,635,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Hillhurst,51.0527781,-114.0869725,/ab/calgary/rentals/apartment/1-bedroom/hillhurst/pet-friendly/126062,Apartment,1050,1,550,1.0,2,2,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Sunalta,51.0433457,-114.1052338,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/373063,Apartment,1050,1,489,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Rosscarrock,51.0436382,-114.1415541,/ab/calgary/rentals/apartment/1-bedroom/rosscarrock/pet-friendly/51405,Apartment,1100,1,600,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Altadore,51.0198076,-114.1001265,/ab/calgary/rentals/apartment/1-bedroom/altadore/pet-friendly/359908,Apartment,1099,1,542,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,South Calgary,51.0237308,-114.1148425,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/342039,Apartment,1075,1,550,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Bridgeland,51.0542397,-114.0509469,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/473398,Apartment,1050,1,497,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Bankview,51.0356789,-114.0970703,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/473397,Apartment,1075,1,558,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Capitol Hill,51.067638,-114.093356,/ab/calgary/rentals/apartment/1-bedroom/capitol-hill/pet-friendly/2544,Apartment,1099,1,438,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Bankview,51.0322456,-114.100702,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/51407,Apartment,1075,1,500,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Crescent Heights,51.0640666,-114.0573792,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/pet-friendly/2542,Apartment,1099,1,520,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Bankview,51.0324264,-114.0962183,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/337415,Apartment,1075,1,564,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Falconridge,51.108143,-113.936489,/ab/calgary/rentals/apartment/1-bedroom/falconridge/pet-friendly/2248,Apartment,1150,1,500,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Calgary,Sunalta,51.0425868,-114.0960443,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/347214,Apartment,1075,1,513,1.0,2,2,1,0,1,0,0,1.0
