rented,availability,a,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,sq_feet2,price2,beds2,baths2,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet
Not-Rented,Immediate,2000-01-01,Calgary,Manchester,51.0028735,-114.0688282,/ab/calgary/rentals/apartment/1-bedroom/manchester/468894,Apartment,580,1,,1,0,0,,,0,0,0,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Downtown,51.0478108,-114.0592618,/ab/calgary/rentals/apartment/studio/downtown/472999,Apartment,580,studio,,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/studio/cliff-bungalow/357976,Apartment,525,studio,420,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Thorncliffe,51.10716,-114.07147,/ab/calgary/rentals/apartment/3-bedrooms/thorncliffe/131827,Apartment,500,3,1100 sft,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Downtown,51.0472973,-114.0828068,/ab/calgary/rentals/apartment/1-bedroom/downtown/477769,Apartment,960,1,,1,0,0,,,0,0,0,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Forest Heights,51.0446273,-113.9703201,/ab/calgary/rentals/apartment/1-bedroom/forest-heights/pet-friendly/430315,Apartment,999,1,522,1,2,2,530,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0392327,-114.0784435,/ab/calgary/rentals/apartment/1-bedroom/beltline/452842,Apartment,925,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.03682598725,-114.088533366797,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/374579,Apartment,800,1,630,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Banff Trail,51.0674518,-114.1156797,/ab/calgary/rentals/apartment/2-bedrooms/banff-trail/pet-friendly/403379,Apartment,940,studio,,1,2,2,,,0,0,1,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.041265,-114.066508,/ab/calgary/rentals/apartment/studio/beltline/pet-friendly/339295,Apartment,695,studio,205,1,2,2,,,0,0,0,0,0,0,0
