availability,a,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet,available_month
Immediate,2000-01-01 00:00:00,Beltline,51.0408325,-114.0752992,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/351340,Apartment,930,1,484,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Forest Heights,51.0446273,-113.9703201,/ab/calgary/rentals/apartment/1-bedroom/forest-heights/pet-friendly/430315,Apartment,999,1,530,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Shaganappi,51.0382491,-114.1240734,/ab/calgary/rentals/apartment/1-bedroom/shaganappi/470000,Apartment,895,1,500,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Haysboro,50.977276,-114.076662,/ab/calgary/rentals/apartment/1-bedroom/haysboro/pet-friendly/75289,Apartment,950,0,374,1.0,2,2,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0390969,-114.0731192,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/75288,Apartment,925,0,250,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bridgeland,51.0565375,-114.0492047,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/355717,Apartment,975,0,501,1.0,2,2,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0399846,-114.0693749,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/99283,Apartment,975,0,400,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Sunalta,51.0389372,-114.0985889,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/413819,Apartment,999,1,550,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0306332,-114.1038036,/ab/calgary/rentals/apartment/studio/bankview/pet-friendly/355713,Apartment,899,0,397,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Huntington Hills,51.1147884,-114.0682795,/ab/calgary/rentals/apartment/1-bedroom/huntington-hills/pet-friendly/99281,Apartment,925,0,388,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.030137,-114.101078,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/51406,Apartment,950,0,420,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Lower Mount Royal,51.0348835,-114.0802295,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/314015,Apartment,950,0,450,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Renfrew,51.0595404,-114.0510065,/ab/calgary/rentals/apartment/1-bedroom/renfrew/pet-friendly/466383,Apartment,700,0,299,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,South Calgary,51.0302907,-114.0989466,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/2592,Apartment,899,0,450,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Mission,51.0369918,-114.0752319,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/466381,Apartment,875,0,350,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Crescent Heights,51.0640666,-114.0573792,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/pet-friendly/2542,Apartment,999,1,520,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Connaught,51.0463834,-114.0874283,/ab/calgary/rentals/apartment/1-bedroom/connaught/pet-friendly/2244,Apartment,1000,0,400,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Mission,51.037644,-114.0703651,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/2243,Apartment,840,0,350,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Mission,51.0345392,-114.0692334,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/473402,Apartment,999,1,454,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Scarboro,51.0375374,-114.1020294,/ab/calgary/rentals/apartment/1-bedroom/scarboro/pet-friendly/299144,Apartment,899,0,335,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bridgeland,51.0542397,-114.0509469,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/473398,Apartment,999,1,497,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Tuxedo,51.0726515,-114.061413,/ab/calgary/rentals/apartment/1-bedroom/tuxedo/32021,Apartment,975,1,550,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0325951,-114.0980284,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/3474,Apartment,999,1,497,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0341141,-114.0991242,/ab/calgary/rentals/apartment/2-bedrooms/bankview/484949,Apartment,950,2,800,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0401861,-114.0784295,/ab/calgary/rentals/apartment/studio/beltline/pet-friendly/137984,Apartment,700,0,500,1.0,2,2,0,0,0,0,1,1.0
Immediate,2000-01-01 00:00:00,Killarney,51.0296161,-114.1351447,/ab/calgary/rentals/apartment/1-bedroom/killarney/pet-friendly/29306,Apartment,895,1,700,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.041265,-114.066508,/ab/calgary/rentals/apartment/studio/beltline/pet-friendly/339295,Apartment,695,0,205,1.0,2,2,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Crescent Heights,51.064555,-114.064615,/ab/calgary/rentals/apartment/studio/crescent-heights/3898,Apartment,895,0,345,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Downtown,51.0520442,-114.0768623,/ab/calgary/rentals/apartment/1-bedroom/downtown/436606,Apartment,850,1,525,1.0,0,0,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Altadore,51.01635,-114.0985,/ab/calgary/rentals/apartment/1-bedroom/altadore/117563,Apartment,975,1,600,1.0,0,0,1,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Greenview,51.0966163,-114.0580176,/ab/calgary/rentals/apartment/1-bedroom/greenview/113896,Apartment,1000,1,720,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bridgeland,51.0521742,-114.0489798,/ab/calgary/rentals/apartment/studio/bridgeland/pet-friendly/393082,Apartment,926,0,429,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Sunalta,51.0437267,-114.1057707,/ab/calgary/rentals/apartment/1-bedroom/sunalta/51688,Apartment,895,1,550,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Forest Lawn,51.0367038,-113.9746726,/ab/calgary/rentals/apartment/1-bedroom/forest-lawn/483403,Apartment,875,1,650,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Beltline,51.0413127,-114.0848539,/ab/calgary/rentals/apartment/studio/beltline/22940,Apartment,925,0,500,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Bankview,51.0315177,-114.1019092,/ab/calgary/rentals/apartment/1-bedroom/bankview/45239,Apartment,900,1,500,1.0,0,0,1,1,1,1,0,1.0
Immediate,2000-01-01 00:00:00,Killarney,51.0242857,-114.140771,/ab/calgary/rentals/apartment/1-bedroom/killarney/pet-friendly/378126,Apartment,1000,1,650,1.0,2,0,1,1,1,0,1,1.0
Immediate,2000-01-01 00:00:00,Mission,51.0336618,-114.0690593,/ab/calgary/rentals/apartment/1-bedroom/mission/291671,Apartment,975,1,475,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Mission,51.0327199,-114.0706328,/ab/calgary/rentals/apartment/1-bedroom/mission/439597,Apartment,995,0,520,1.0,0,0,1,0,1,0,1,1.0
Immediate,2000-01-01 00:00:00,Mission,51.035457169999,-114.06937122345,/ab/calgary/rentals/apartment/studio/mission/40830,Apartment,825,0,350,1.0,0,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Altadore,51.021994,-114.109543,/ab/calgary/rentals/apartment/2-bedrooms/altadore/pet-friendly/290727,Apartment,975,2,1000,1.0,2,0,0,0,0,0,0,1.0
Immediate,2000-01-01 00:00:00,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/studio/cliff-bungalow/357976,Apartment,525,0,420,1.0,0,0,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/476249,Apartment,625,1,465,1.0,0,0,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Downtown,51.0457187,-114.0805283,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/17394,Apartment,985,1,630,1.0,2,2,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Inglewood,51.040263,-114.032654,/ab/calgary/rentals/apartment/studio/inglewood/pet-friendly/403605,Apartment,950,0,500,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Connaught,51.0394868,-114.0904517,/ab/calgary/rentals/apartment/1-bedroom/connaught/967,Apartment,985,1,550,1.0,0,0,1,0,1,0,1,1.0
Immediate,2000-01-01 00:00:00,Crescent Heights,51.05433488015,-114.053906275024,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/139575,Apartment,995,1,800,1.0,0,0,1,1,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Deer Run,50.9322881,-114.0113261,/ab/calgary/rentals/apartment/1-bedroom/deer-run/pet-friendly/141307,Apartment,980,1,690,1.0,2,0,1,0,1,0,0,1.0
Immediate,2000-01-01 00:00:00,Dalhousie,51.1030746,-114.150732,/ab/calgary/rentals/apartment/1-bedroom/dalhousie/147423,Apartment,1000,1,651,1.0,0,0,1,1,1,0,0,1.0
Apr 16,2022-04-16 00:00:00,Sunalta,51.038298,-114.0982478,/ab/calgary/rentals/apartment/1-bedroom/sunalta/483314,Apartment,800,1,470,1.0,0,0,1,0,1,0,0,4.0
May 01,2022-05-01 00:00:00,Bankview,51.0317966,-114.0974172,/ab/calgary/rentals/apartment/1-bedroom/bankview/74881,Apartment,950,1,500,1.0,0,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Willow Park,50.962396,-114.058199,/ab/calgary/rentals/apartment/1-bedroom/willow-park/477696,Apartment,849,0,300,1.0,0,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Rosscarrock,51.0395315,-114.1423165,/ab/calgary/rentals/apartment/1-bedroom/rosscarrock/pet-friendly/6910,Apartment,1000,1,700,1.0,2,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Lower Mount Royal,51.0376662,-114.0822965,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/133915,Apartment,995,1,700,1.0,2,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Mission,51.0292343,-114.0649091,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/453881,Apartment,900,0,430,1.0,2,2,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Lower Mount Royal,51.0360372,-114.0822822,/ab/calgary/rentals/apartment/studio/lower-mount-royal/3539,Apartment,795,0,450,1.0,0,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Mission,51.0367603,-114.0730631,/ab/calgary/rentals/apartment/1-bedroom/mission/91277,Apartment,995,1,500,1.0,0,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Beltline,51.042298,-114.085973,/ab/calgary/rentals/apartment/studio/beltline/32489,Apartment,925,0,400,1.0,0,0,1,1,1,0,0,5.0
May 01,2022-05-01 00:00:00,Bankview,51.0338193,-114.1037927,/ab/calgary/rentals/apartment/2-bedrooms/bankview/pet-friendly/327472,Apartment,925,2,798,1.0,2,2,0,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Connaught,51.038102,-114.076197,/ab/calgary/rentals/apartment/1-bedroom/connaught/pet-friendly/483811,Apartment,910,1,330,1.0,2,0,1,1,0,0,1,5.0
May 01,2022-05-01 00:00:00,Crescent Heights,51.0541659,-114.0565049,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/9827,Apartment,895,1,650,1.0,0,0,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Cliff Bungalow,51.032271,-114.0745192,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/pet-friendly/484161,Apartment,950,1,600,1.0,2,0,1,1,1,0,0,5.0
May 01,2022-05-01 00:00:00,Bowness,51.08648,-114.18464,/ab/calgary/rentals/apartment/2-bedrooms/bowness/51961,Apartment,775,2,900,1.0,0,0,0,0,0,0,0,5.0
May 01,2022-05-01 00:00:00,Rosscarrock,51.0386689,-114.1436858,/ab/calgary/rentals/apartment/1-bedroom/rosscarrock/pet-friendly/445619,Apartment,900,1,500,1.0,2,2,1,0,1,0,0,5.0
May 01,2022-05-01 00:00:00,Sunalta,51.042852,-114.104515,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/139206,Apartment,995,1,650,1.0,2,2,1,0,1,0,0,5.0
